ApplicationDate,CreditScore,AnnualIncome,LoanAmount,EmploymentStatus,OutstandingDebt,EmploymentStartDate,LoanOutcome
2021-01-01 00:00:00.000000000,655,6306291,417034,Employed,159749,2011-11-24 19:42:42.126610048,Denied
2021-01-02 02:16:56.216216216,652,7555169,5730135,Self-Employed,334035,2006-12-25 19:23:45.596053728,Approved
2021-01-03 04:33:52.432432432,490,9578220,1886511,Unemployed,159927,2006-05-06 00:34:43.639353248,Approved
2021-01-04 06:50:48.648648648,759,7697704,9468833,Unemployed,3438,2009-01-22 19:20:12.496574400,Denied
2021-01-05 09:07:44.864864864,800,9040140,655286,Self-Employed,110166,2005-10-19 11:13:37.867909024,Approved
2021-01-06 11:24:41.081081081,708,7135340,2794275,Unemployed,43990,2009-11-05 10:21:08.731159232,Denied
2021-01-07 13:41:37.297297297,334,11476173,6295274,Self-Employed,250980,2004-12-06 10:02:12.200602912,Denied
2021-01-08 15:58:33.513513513,807,12481551,9898409,Employed,277781,2006-07-28 06:57:07.349958912,Denied
2021-01-09 18:15:29.729729729,693,4103679,8068403,Self-Employed,130065,2011-04-11 10:36:55.839956160,Approved
2021-01-10 20:32:25.945945946,385,13244821,3143312,Unemployed,383058,2007-10-11 15:16:19.665661824,Approved
2021-01-11 22:49:22.162162162,824,11794889,9869434,Self-Employed,421589,2010-03-15 03:12:11.049602624,Denied
2021-01-13 01:06:18.378378378,684,6491489,4503882,Unemployed,77191,2003-06-20 14:19:53.751712800,Denied
2021-01-14 03:23:14.594594594,627,5315161,5607529,Employed,20408,2015-06-10 15:21:27.476020864,Approved
2021-01-15 05:40:10.810810810,532,13974996,8188973,Employed,300622,2007-08-05 09:12:05.130172672,Approved
2021-01-16 07:57:07.027027027,423,8166277,7391758,Self-Employed,483923,2005-08-02 00:08:40.909838304,Denied
2021-01-17 10:14:03.243243243,463,13948323,2176134,Unemployed,208502,2003-08-10 20:05:59.112085504,Denied
2021-01-18 12:30:59.459459459,464,14199713,8334558,Unemployed,321439,2008-01-20 12:22:41.468895584,Denied
2021-01-19 14:47:55.675675675,566,5225013,1498399,Self-Employed,483365,2013-01-17 08:26:18.514661568,Approved
2021-01-20 17:04:51.891891892,532,6593403,5977365,Self-Employed,309570,2000-07-23 23:04:21.441490820,Denied
2021-01-21 19:21:48.108108108,322,7555036,8068339,Unemployed,25729,2003-12-26 13:06:06.018087152,Approved
2021-01-22 21:38:44.324324324,563,3583612,3340576,Unemployed,289530,2003-02-17 07:12:07.103315984,Denied
2021-01-23 23:55:40.540540540,453,7935296,3432809,Self-Employed,156178,2012-05-20 13:28:11.970402880,Approved
2021-01-25 02:12:36.756756756,675,10158816,7001244,Employed,137409,2004-04-19 20:04:48.078925744,Denied
2021-01-26 04:29:32.972972973,817,12173371,8549779,Unemployed,251735,2003-10-13 21:18:35.812551392,Denied
2021-01-27 06:46:29.189189189,678,14675460,6756754,Unemployed,478711,2001-10-29 17:24:58.602356816,Approved
2021-01-28 09:03:25.405405405,618,14186112,2281150,Self-Employed,164373,2007-03-19 01:46:09.306659360,Denied
2021-01-29 11:20:21.621621621,570,7463071,675033,Self-Employed,110033,2013-09-04 22:23:42.636338752,Approved
2021-01-30 13:37:17.837837838,418,9013992,9773835,Unemployed,6746,2000-08-08 23:22:30.616607292,Approved
2021-01-31 15:54:14.054054054,666,7230027,3805630,Unemployed,122407,2007-02-23 01:18:55.543984672,Approved
2021-02-01 18:11:10.270270270,317,3308903,2986453,Unemployed,80345,2004-04-05 10:12:27.821320912,Denied
2021-02-02 20:28:06.486486486,339,13090398,8902662,Employed,169411,2011-12-10 20:00:51.301726528,Denied
2021-02-03 22:45:02.702702703,667,14809004,7640118,Employed,395661,2002-01-30 14:22:15.818032336,Denied
2021-02-05 01:01:58.918918919,588,13797329,5554753,Unemployed,13059,2006-08-21 07:24:21.112633600,Denied
2021-02-06 03:18:55.135135135,741,13341901,6086278,Employed,87061,2014-09-19 10:21:56.086599104,Approved
2021-02-07 05:35:51.351351351,363,14928470,9452527,Employed,492830,2012-01-03 20:28:05.064401216,Denied
2021-02-08 07:52:47.567567567,418,10492329,4088765,Self-Employed,446911,2005-09-19 01:03:08.435187744,Approved
2021-02-09 10:09:43.783783784,823,7192658,4370746,Self-Employed,423629,2001-03-05 03:18:29.893121408,Approved
2021-02-10 12:26:40.000000000,664,13291253,7218951,Unemployed,304073,2013-02-07 04:01:54.442312960,Approved
2021-02-11 14:43:36.216216216,637,13127057,5881146,Unemployed,457758,2008-12-21 18:43:54.146341472,Denied
2021-02-12 17:00:32.432432432,838,12406759,6083939,Self-Employed,403157,2009-03-02 05:39:46.516853952,Denied
2021-02-13 19:17:28.648648649,570,13931496,9519235,Unemployed,71592,2011-03-23 05:27:08.829816384,Approved
2021-02-14 21:34:24.864864865,378,13738488,5911899,Unemployed,98268,2000-12-19 21:05:10.770073992,Denied
2021-02-15 23:51:21.081081081,440,8749076,3792107,Employed,347059,2012-01-19 20:46:14.239517696,Denied
2021-02-17 02:08:17.297297297,848,3547680,5918325,Employed,485000,2009-07-11 12:56:37.752809024,Approved
2021-02-18 04:25:13.513513513,631,14067769,8744023,Employed,235521,2008-02-05 12:40:50.644012064,Approved
2021-02-19 06:42:09.729729730,448,4311785,2499082,Employed,72,2003-12-04 03:04:41.172924096,Approved
2021-02-20 08:59:05.945945946,563,10470674,6921847,Unemployed,192425,2012-12-16 07:50:00.164428608,Approved
2021-02-21 11:16:02.162162162,800,10689298,2648413,Self-Employed,468366,2004-04-19 20:04:48.078925744,Denied
2021-02-22 13:32:58.378378378,831,9544800,4260081,Employed,335989,2014-01-30 05:58:43.047410240,Approved
2021-02-23 15:49:54.594594595,395,9078280,7772725,Self-Employed,391982,2008-11-08 13:06:53.373527008,Denied
2021-02-24 18:06:50.810810811,714,7143519,8511921,Self-Employed,415210,2003-02-15 16:46:18.185804336,Denied
2021-02-25 20:23:47.027027027,545,7651799,160168,Unemployed,340980,2013-05-12 15:25:00.575500160,Denied
2021-02-26 22:40:43.243243243,331,4313949,5341225,Employed,152844,2006-05-28 10:36:08.484516320,Denied
2021-02-28 00:57:39.459459460,494,14134805,6594785,Employed,67810,2015-02-18 13:14:23.250205568,Denied
2021-03-01 03:14:35.675675676,382,13716155,6412336,Employed,377266,2003-10-25 02:19:18.235132912,Approved
2021-03-02 05:31:31.891891892,790,9739070,8312491,Self-Employed,45942,2014-08-13 14:28:10.983831232,Approved
2021-03-03 07:48:28.108108108,796,9600365,9685671,Unemployed,354593,2013-06-29 16:19:28.100849536,Denied
2021-03-04 10:05:24.324324324,556,11681023,7784853,Unemployed,414475,2015-12-11 18:50:12.989860224,Approved
2021-03-05 12:22:20.540540541,478,7965825,613995,Employed,163812,2008-03-29 08:52:44.921896416,Denied
2021-03-06 14:39:16.756756757,566,6017321,1814469,Unemployed,302745,2004-08-03 12:28:36.634694432,Denied
2021-03-07 16:56:12.972972973,600,5689214,5954809,Self-Employed,166350,2010-11-07 02:52:50.841326400,Denied
2021-03-08 19:13:09.189189189,701,5704111,3115403,Self-Employed,173927,2009-08-23 18:33:38.525623488,Denied
2021-03-09 21:30:05.405405406,705,12298136,5301375,Unemployed,28356,2007-05-15 17:15:30.337078656,Denied
2021-03-10 23:47:01.621621622,633,13872034,3589294,Employed,29528,2007-06-16 17:51:48.687311616,Denied
2021-03-12 02:03:57.837837838,310,8892287,7736601,Self-Employed,243907,2005-03-26 21:43:27.508906560,Approved
2021-03-13 04:20:54.054054054,655,9599819,1992791,Self-Employed,431207,2005-09-30 06:03:50.857769248,Approved
2021-03-14 06:37:50.270270270,664,13218149,8598304,Unemployed,238347,2009-03-16 15:32:06.774458752,Denied
2021-03-15 08:54:46.486486487,460,7828093,7419937,Employed,388896,2001-09-30 21:40:18.087147168,Denied
2021-03-16 11:11:42.702702703,623,14390902,7437936,Unemployed,388318,2005-01-07 10:38:30.550835840,Denied
2021-03-17 13:28:38.918918919,501,6693783,496829,Self-Employed,379526,2013-07-01 06:45:17.018361216,Approved
2021-03-18 15:45:35.135135135,518,4227967,9092931,Unemployed,245208,2009-03-10 05:48:51.104412160,Denied
2021-03-19 18:02:31.351351352,427,9900881,373252,Employed,265208,2009-03-18 05:57:55.691970432,Denied
2021-03-20 20:19:27.567567568,308,9477538,7814584,Self-Employed,256718,2015-10-07 03:11:47.371882752,Approved
2021-03-21 22:36:23.783783784,707,11285564,5913707,Self-Employed,300615,2006-09-28 17:43:55.132913120,Approved
2021-03-23 00:53:20.000000000,511,14811627,2861783,Employed,30371,2004-03-26 19:37:34.316251040,Approved
2021-03-24 03:10:16.216216216,614,6849739,1274380,Unemployed,329598,2005-09-06 05:36:37.095094560,Denied
2021-03-25 05:27:12.432432433,485,7822527,7531759,Employed,34858,2001-02-25 03:09:25.305563168,Approved
2021-03-26 07:44:08.648648649,522,10109970,8470217,Self-Employed,182717,2006-11-04 13:37:40.235681024,Denied
2021-03-27 10:01:04.864864865,363,12970433,5610738,Employed,232834,2000-09-03 14:15:33.296793644,Approved
2021-03-28 12:18:01.081081081,783,7826732,5373740,Unemployed,111040,2014-12-13 07:10:08.714716352,Approved
2021-03-29 14:34:57.297297298,843,6365934,5801171,Self-Employed,131392,2014-09-29 00:56:49.591668992,Approved
2021-03-30 16:51:53.513513514,835,10010570,930351,Employed,226567,2013-02-24 18:45:52.534941120,Denied
2021-03-31 19:08:49.729729730,675,3351442,1498705,Self-Employed,313097,2015-08-21 16:43:08.764044992,Denied
2021-04-01 21:25:45.945945946,674,14234691,1612344,Employed,250657,2015-06-01 00:46:33.970950976,Denied
2021-04-02 23:42:42.162162162,585,10386388,7828929,Employed,376293,2015-02-13 17:56:56.497670592,Approved
2021-04-04 01:59:38.378378379,612,14075507,5603335,Self-Employed,170368,2008-12-23 09:09:43.063853120,Approved
2021-04-05 04:16:34.594594595,523,10461069,6700109,Unemployed,212365,2004-10-30 14:08:27.097835040,Denied
2021-04-06 06:33:30.810810811,657,3553389,8265186,Employed,328713,2009-05-30 21:45:25.897506176,Approved
2021-04-07 08:50:27.027027027,682,13674520,3074082,Unemployed,57920,2008-06-03 00:31:10.539873952,Approved
2021-04-08 11:07:23.243243243,816,12137492,732254,Employed,274489,2002-06-23 17:05:38.394080576,Denied
2021-04-09 13:24:19.459459460,838,14174877,8377737,Unemployed,497088,2004-06-08 11:25:04.521786800,Denied
2021-04-10 15:41:15.675675676,382,7387388,9141527,Self-Employed,259298,2012-06-29 14:13:34.908194048,Denied
2021-04-11 17:58:11.891891892,789,11512195,6327630,Unemployed,403148,2011-08-12 17:44:42.488352960,Approved
2021-04-12 20:15:08.108108108,608,3566141,6191667,Employed,484100,2010-01-29 07:09:21.359276544,Approved
2021-04-13 22:32:04.324324325,426,6921868,888615,Employed,273818,2005-03-12 11:51:07.251301728,Approved
2021-04-15 00:49:00.540540541,454,4918337,2720326,Self-Employed,125900,2003-07-27 10:13:38.854480688,Approved
2021-04-16 03:05:56.756756756,811,12028160,3440907,Employed,295508,2000-07-25 13:30:10.359002468,Denied
2021-04-17 05:22:52.972972974,452,3366512,5720048,Unemployed,156281,2007-11-17 11:10:04.768429728,Approved
2021-04-18 07:39:49.189189190,706,14435660,7925003,Unemployed,220035,2003-02-04 11:45:35.763222800,Approved
2021-04-19 09:56:45.405405406,405,4620571,1934859,Employed,151950,2011-09-23 08:55:54.343655808,Approved
2021-04-20 12:13:41.621621622,390,3560897,7679275,Self-Employed,348566,2013-07-25 07:12:30.781035904,Denied
2021-04-21 14:30:37.837837838,780,14085617,5569085,Self-Employed,251652,2001-12-02 08:27:05.870101400,Denied
2021-04-22 16:47:34.054054054,368,4323472,8333295,Unemployed,188205,2009-08-26 23:25:16.360646784,Denied
2021-04-23 19:04:30.270270270,699,10665637,9088137,Self-Employed,429778,2001-08-25 01:46:32.984379280,Denied
2021-04-24 21:21:26.486486486,631,3385513,4475530,Unemployed,385983,2004-10-22 13:59:22.510276800,Denied
2021-04-25 23:38:22.702702702,467,5208412,9019122,Employed,445288,2014-08-28 00:20:31.241436032,Approved
2021-04-27 01:55:18.918918920,342,7418383,9387661,Self-Employed,474568,2004-10-01 18:23:46.582625376,Denied
2021-04-28 04:12:15.135135136,364,14872760,4428050,Employed,29782,2015-02-24 22:57:38.920252160,Denied
2021-04-29 06:29:11.351351352,699,4541934,3012595,Self-Employed,313995,2005-01-29 20:39:55.395998912,Approved
2021-04-30 08:46:07.567567568,457,11530271,4749737,Unemployed,293856,2011-10-20 14:14:45.941353792,Denied
2021-05-01 11:03:03.783783784,711,9917214,6706147,Self-Employed,357071,2003-09-15 01:33:55.297341744,Approved
2021-05-02 13:20:00.000000000,705,14046765,699723,Self-Employed,323784,2011-10-01 09:04:58.931214016,Denied
2021-05-03 15:36:56.216216216,773,14250697,7830239,Employed,196568,2001-10-20 02:50:05.097286928,Denied
